Fuel Source,Renewable,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
  Black coal,Non-Renewable,,,,,,,,,,,,,
  Brown coal,Non-Renewable,,,,,,,,,,,,,
  Natural gas,Non-Renewable,1873.40,2132.50,2053.60,2109.30,2269.00,2308.90,2201.40,2484.70,2366.50,2437.80,3503.20,4285.00,4143.00
  Oil products,Non-Renewable,1039.30,1118.20,1022.50,1020.90,1022.00,1123.60,751.30,522.60,537.40,947.20,795.00,504.40,502.50
  Other,Non-Renewable,,2.40,0.50,,,,,,,,,,
"  Bagasse, wood",Renewable,,,,,,,,,,,,,
  Biogas,Renewable,9.20,9.20,8.70,7.70,6.50,8.90,9.00,7.70,7.60,8.60,8.80,8.70,8.00
  Wind,Renewable,,,,,,,,,,,,,
  Hydro,Renewable,,,,,,,,,,,,,
Large-scale solar PV,Renewable,,,,,,5.10,6.40,8.50,18.50,30.50,32.70,39.30,44.60
  Small-scale solar PV,Renewable,0.50,4.30,5.60,9.70,16.90,19.40,28.90,42.40,61.30,85.80,117.90,162.20,203.60
  Geothermal,Renewable,,,,,,,,,,,,,
